"","X","site_code","drtpct_map","habitat.type","Extreme","n_treat_days","mean_DS3"
"1",1,"allmendb.ch",-0.133607802,"Grassland","NotExtreme",197,-0.0276316912086024
"2",2,"allmendo.ch",-0.141813654,"Grassland","NotExtreme",197,0.317090164195778
"3",3,"antelope.us",0.105601875,"Grassland","NotExtreme",123,-0.491130972228882
"4",4,"ayora.es",-0.601799502,"Shrubland","NotExtreme",269,0.433346074610609
"5",5,"baddrt.de",-0.435161686,"Grassland","Extr",201,-0.178625407320712
"6",6,"bange.cn",-0.299595327,"Grassland","NotExtreme",221,0.137055889271386
"7",7,"bayrdrt.de",-0.423453039,"Grassland","Extr",417,-0.250222341105967
"8",8,"bfl.us",-0.460509078,"Grassland","Extr",349,-0.0578519368663638
"9",9,"biddulph.ca",-0.254170201,"Grassland","NotExtreme",453,-0.761396705134586
"10",10,"bldrdrt.us",-0.400165101,"Grassland","Extr",448,-0.431409307809037
"11",11,"brokenh.au",-0.847632509,"Grassland","Extr",383,-1.66526288146885
"12",12,"brookdale.ca",-0.50041496,"Grassland","Extr",470,-0.0133498087006588
"13",13,"capmcd.us",-0.559333333,"Shrubland","NotExtreme",376,0.0810722909494108
"14",14,"capwhite.us",-0.4255,"Shrubland","NotExtreme",373,-1.4400997474864
"15",15,"cedarsav.us",-0.010141144,"Grassland","NotExtreme",116,-0.34270678008246
"16",16,"cedartrait.us",-0.163099795,"Grassland","NotExtreme",153,-0.447648265944184
"17",17,"cerrillos.ar",-0.548221671,"Shrubland","Extr",224,-0.576552336199055
"18",18,"chacra.ar",-0.118329023,"Shrubland","NotExtreme",279,-0.107679126474653
"19",19,"chang.cn",-0.508338953,"Grassland","NotExtreme",482,-0.828952533462783
"20",20,"charleville.au",-0.872261641,"Grassland","Extr",387,-0.231049059239858
"21",21,"chilcasdrt.ar",-0.566828523,"Grassland","Extr",368,-0.313814934791096
"22",22,"ciempoz.es",-0.392959296,"Shrubland","Extr",236,0.206551601603776
"23",23,"cobar.au",-0.757768362,"Grassland","Extr",382,-0.847874579618342
"24",24,"cowidrt.ca",-0.450146972,"Grassland","NotExtreme",253,-0.374509427100429
"25",25,"credoj.au",-0.474289947,"Shrubland","NotExtreme",342,-0.447182182771994
"26",26,"credom.au",-0.474289947,"Shrubland","NotExtreme",342,-0.306307877513329
"27",27,"dang.cn",-0.469421389,"Grassland","Extr",234,0.0754942729069675
"28",28,"eea.br",-0.081805556,"Grassland","NotExtreme",184,-0.116919048673315
"29",29,"elvadrt.ee",-0.661241176,"Grassland","Extr",442,-0.347527951552126
"30",30,"esw.ca",-0.222597654,"Grassland","Extr",136,-0.225462043282954
"31",31,"falls.au",-0.351805317,"Grassland","NotExtreme",368,0.0500115397510614
"32",32,"freiburg.de",-0.154726981,"Grassland","NotExtreme",122,-0.240812201407546
"33",33,"gmgranite.us",-0.649568182,"Shrubland","NotExtreme",364,0.383108679817934
"34",34,"gmmolar.us",-0.649568182,"Shrubland","NotExtreme",364,0.314278227304241
"35",35,"guaribas.br",-0.597718646,"Grassland","Extr",240,-0.683814267235793
"36",36,"haibei.cn",-0.203291651,"Grassland","NotExtreme",591,-0.260727452882324
"37",37,"hard.us",-0.054521645,"Shrubland","NotExtreme",124,0.109422914793368
"38",38,"hoide.de",-0.33142382,"Shrubland","NotExtreme",469,-0.620506694031377
"39",39,"hong.cn",-0.086201991,"Grassland","NotExtreme",230,-0.0253529320037207
"40",40,"hulun.cn",-0.413250662,"Grassland","Extr",235,-0.547846007229056
"41",41,"hyide.de",-0.33142382,"Shrubland","NotExtreme",470,-1.21089109867077
"42",42,"jorndrt.us",-0.833636514,"Grassland","Extr",355,-0.106766736615295
"43",43,"jrnchi.us",-0.615600973,"Shrubland","NotExtreme",366,-0.0724269379063446
"44",44,"kernb.ca",-0.252982754,"Grassland","NotExtreme",449,-0.0257097156838612
"45",45,"kernnu.ca",-0.252982754,"Grassland","NotExtreme",449,0.250364888322673
"46",46,"kinsella.ca",-0.216694565,"Grassland","NotExtreme",420,-0.276595362204996
"47",47,"kiskun.hu",0.057114094,"Grassland","NotExtreme",137,-0.0891619874029065
"48",48,"konzadrt.us",-0.285542169,"Grassland","NotExtreme",175,-0.174706463849282
"49",49,"lygraint.no",0.040868397,"Shrubland","NotExtreme",113,0.57810357940956
"50",50,"lygraold.no",0.040868397,"Shrubland","NotExtreme",113,-0.313681301347556
"51",51,"lygrayng.no",0.040868397,"Shrubland","NotExtreme",113,0.373408781087951
"52",52,"marcdrt.ar",0.033570428,"Grassland","NotExtreme",143,-0.102223206440232
"53",53,"matador.ca",-0.29874442,"Grassland","NotExtreme",451,-0.24634619448605
"54",54,"matta.il",-0.664503784,"Shrubland","Extr",213,-0.478499744181877
"55",55,"mattheis.ca",-0.402494607,"Grassland","Extr",377,-0.121849505674352
"56",56,"milparinka.au",-0.584010417,"Grassland","NotExtreme",385,-0.00315142171318681
"57",57,"morient.ar",-0.348355066,"Shrubland","NotExtreme",349,-0.64441352680626
"58",58,"naposta.ar",-0.346126582,"Grassland","NotExtreme",365,-1.94944437319013
"59",59,"naqu.cn",-0.208456784,"Grassland","NotExtreme",226,-0.222872510104915
"60",60,"nnss.us",-0.474786145,"Shrubland","NotExtreme",347,-0.787529776114694
"61",61,"nplatte.us",-0.453388492,"Shrubland","Extr",124,0.00246673808613271
"62",62,"nyngan.au",-0.825714286,"Grassland","Extr",382,-0.531838120597538
"63",63,"octc.us",-0.426006042,"Shrubland","Extr",377,-0.189615362605795
"64",64,"oklah.us",-0.057959778,"Grassland","NotExtreme",153,-0.233695433509328
"65",65,"oreaa.us",-0.447799061,"Shrubland","Extr",384,-0.327067705748503
"66",66,"oreac.us",-0.447799061,"Shrubland","Extr",382,-0.318585526558987
"67",67,"paike.ar",-0.531082082,"Grassland","NotExtreme",469,-0.311608703850567
"68",68,"passogavia.it",-0.480719995,"Grassland","Extr",438,0.0598988503397917
"69",69,"pineta.es",-0.539314567,"Grassland","Extr",214,-0.462970647879084
"70",70,"plattev.us",-0.458142679,"Grassland","NotExtreme",518,-0.932484313628587
"71",71,"pneburn.br",-0.385862375,"Grassland","Extr",301,-0.0503775569672255
"72",72,"pneunburn.br",-0.385862375,"Grassland","Extr",301,-1.27215565173813
"73",73,"pozos.ar",-0.424180328,"Grassland","NotExtreme",386,0.655701405464671
"74",74,"purdue.us",-0.057313684,"Grassland","NotExtreme",119,-0.380390307394597
"75",75,"quilpie.au",-0.866920904,"Grassland","Extr",386,-0.568226884813694
"76",76,"rhijn.nl",-0.599695829,"Grassland","Extr",462,-0.267797929057011
"77",77,"riomayo.ar",-0.741853782,"Shrubland","Extr",358,-0.353256288639361
"78",78,"sclaudio.ar",-0.128977929,"Grassland","NotExtreme",176,-0.469588076721162
"79",79,"scruzh.us",-0.305779866,"Grassland","NotExtreme",156,0.194079649185303
"80",80,"scruzl.us",-0.460080537,"Grassland","NotExtreme",154,0.0239579534021626
"81",81,"scruzm.us",-0.385261745,"Grassland","NotExtreme",163,-0.302744962353789
"82",82,"sedgwick.us",-0.648421053,"Grassland","Extr",116,-0.491675199485644
"83",83,"sevblack.us",-0.658976324,"Grassland","Extr",360,-1.08069682468498
"84",84,"sevblue.us",-0.693866667,"Grassland","Extr",365,-0.244453604899201
"85",85,"sevmixed.us",-0.670049456,"Grassland","Extr",365,-0.776311124728721
"86",86,"sgsdrt.us",-0.681636364,"Grassland","Extr",439,-2.1235646773394
"87",87,"skotsvar.no",-0.773907131,"Shrubland","Extr",466,-0.0279375741365924
"88",88,"slp.us",-0.492110509,"Grassland","Extr",334,-0.289681628825001
"89",89,"sonora.us",-0.626075682,"Grassland","Extr",246,-0.488935202959265
"90",90,"spvdrt.ar",-0.157367962,"Grassland","NotExtreme",135,0.222035671965926
"91",91,"syferkuil.za",-0.489174477,"Grassland","Extr",217,-0.185346467669858
"92",92,"torla.es",0.110967059,"Grassland","NotExtreme",195,0.185733134479238
"93",93,"ukulingadrt.za",-0.50505187,"Grassland","Extr",210,-0.170184156536031
"94",94,"urat.cn",-0.273014345,"Grassland","NotExtreme",237,-1.60517458942105
"95",95,"validate.fr",-0.713458228,"Grassland","Extr",474,-0.633090043159137
"96",96,"wytham.uk",-0.357358795,"Grassland","Extr",335,-0.7632055377377
"97",97,"xilin.cn",-0.497928994,"Grassland","Extr",242,-0.401416662450723
"98",98,"yanchi.cn",-0.187699189,"Grassland","NotExtreme",227,-0.241137483284276
"99",99,"yarradrt.au",-0.1740125,"Grassland","NotExtreme",274,-0.159719531714463
"100",100,"youyu.cn",-0.141082396,"Grassland","NotExtreme",235,0.12280851504321
